method,precision,recall,f1,seed
pos_bert-base-uncased_1_2e-5_20_8_1,0.5921513665031535,0.5921513665031535,0.5921513665031535,1.0
pos_tense_polarity_bert-base-uncased_0_2e-5_20_16_1,0.629292221443588,0.629292221443588,0.629292221443588,1.0
